Date,m1,m2,m3,m4,pib,selic,indice_ipca,selic_lag1,selic_lag3,selic_lag6,selic_lag12,pib_lag1,pib_lag3,pib_lag6,pib_lag12,pib_real,m1_real,m2_real,m3_real,m4_real,log_m1,log_m2,log_m3,log_m4,log_pib,dlog_m1,dlog_m2,dlog_m3,dlog_m4,dlog_mean,D_crise
2017-01-01,326.435805,2390.710458,5403.067549,5842.419766,162330.0,13.17,264.47116848636955,13.65,14.05,14.15,14.15,162350.0,162390.0,165550.0,161870.0,61379.0913123168,123.42963766835855,903.9588215541967,2042.970347173577,2209.0951537127985,4.815671258228225,6.80678380797658,7.6221600803577,7.7003382779622,11.024824523768228,-0.11004095476522391,-0.026683130415077194,0.002239844257803547,-0.001986772330625719,-0.03411775331328082,0
2017-02-01,333.84563,2401.311628,5428.196722,5861.693498,163233.33333333334,12.82,265.3439233423746,13.17,13.9,14.15,14.15,162330.0,162370.0,164496.66666666666,162496.66666666666,61517.64520445134,125.8161957488046,904.9808255460125,2045.7211356583323,2209.0927970627113,4.834822078021166,6.807913756233498,7.623505639890053,7.700337211167345,11.027079326536207,0.019150819792941753,0.0011299482569180341,0.0013455595323526026,-1.066794855120179e-06,0.0054063151968393175,0
2017-03-01,325.270676,2413.002766,5507.791836,5936.525988,164136.66666666666,12.15,266.0072831507305,12.82,13.65,14.15,14.15,163233.33333333334,162350.0,163443.3333333333,163123.33333333334,61703.82431734405,122.2788609948279,907.1190598314164,2070.5417426029885,2231.715582251981,4.8063041822493515,6.81027370923062,7.63556556342137,7.710525888075193,11.030101190425547,-0.02851789577181485,0.0023599529971214395,0.012059923531317018,0.010188676907847416,-0.000977335583882244,0
2017-04-01,327.5708,2428.356121,5474.967657,5925.396119,165040.0,11.59,266.37969334714154,12.15,13.17,14.05,14.15,164136.66666666666,162330.0,162390.0,163750.0,61956.67467224036,122.97138565030001,911.6145793573713,2055.324708954115,2224.4173512423577,4.8119516913188045,6.815217290395649,7.628189123671606,7.707250295697641,11.034190624146747,0.005647509069452994,0.004943581165029798,-0.0073764397497635414,-0.003275592377551817,-1.523547320814167e-05,0
2017-05-01,326.537,2462.036268,5495.565318,5947.255664,166116.6666666667,11.15,267.2054703965177,11.59,12.82,13.9,14.15,165040.0,163233.33333333334,162370.0,164350.0,62168.13840680695,122.20445918095825,921.4018950833896,2056.6814406325193,2225.723767995697,4.805695536914259,6.825896309243124,7.628849011657315,7.707837430692178,11.037597903221803,-0.006256154404545633,0.010679018847474353,0.000659887985708707,0.0005871349945376636,0.0014174718557937727,0
2017-06-01,333.582469,2497.091464,5518.949598,5978.559446,167193.3333333333,10.15,266.5908978146057,11.15,12.15,13.65,14.15,166116.6666666667,164136.66666666666,162350.0,164950.00000000003,62715.31950412049,125.12897917166774,936.6754395855417,2070.194310174094,2242.596988497952,4.829345038701495,6.842336839721381,7.635397751503255,7.715389843164001,11.046361026986506,0.02364950178723646,0.01644053047825711,0.00654873984594051,0.007552412471822478,0.01354779614581414,0
2017-07-01,333.533428,2492.501008,5543.482574,5978.280665,168270.0,10.01,267.23071596936074,10.15,11.59,13.17,14.15,167193.3333333333,165040.0,162330.0,165550.0,62968.060909320375,124.81103708087254,932.7150133017558,2074.4181872549357,2237.1233199425465,4.826800890172922,6.838099702206416,7.637436001663333,7.71294608734776,11.050382907127757,-0.002544148528573764,-0.004237137514964573,0.002038250160077304,-0.002443755816241122,-0.0017966979249255388,0
2017-08-01,330.016863,2513.003631,5626.754248,6054.119494,167706.6666666667,9.15,267.7384543297025,10.01,11.15,12.82,14.15,168270.0,166116.6666666667,163233.33333333334,164496.66666666666,62638.24413513153,123.26091290330888,938.6039212377761,2101.586140133243,2261.2065603937285,4.8143033518291505,6.844393581103323,7.650447643437728,7.723653826085504,11.04513129922346,-0.012497538343771097,0.0062938788969066906,0.013011641774395066,0.010707738737743888,0.004378930266318637,0
2017-09-01,335.224186,2529.39034,5677.639428,6092.331523,167143.33333333334,8.35,268.16683585663003,9.15,10.15,12.15,14.15,167706.6666666667,167193.3333333333,164136.66666666666,163443.3333333333,62328.1148093544,125.00583262996055,943.2151936014517,2117.204168764342,2271.8437585836086,4.828360397253393,6.84929445766154,7.657851708980733,7.728347009247353,11.040167884027904,0.014057045424242354,0.004900876558217249,0.0074040655430049895,0.0046931831618497455,0.007763792671828584,0
2017-10-01,334.125389,2516.956654,5711.202165,6146.692564,166580.0,8.01,269.29313656722786,8.35,10.01,11.59,14.05,167143.33333333334,168270.0,165040.0,162390.0,61858.24196021202,124.0749739333171,934.6531018519489,2120.812374872474,2282.528490088534,4.820886011385367,6.840175446383855,7.659554489959902,7.733039094357723,11.03260062618135,-0.007474385868025735,-0.009119011277685551,0.001702780979169205,0.004692085110369781,-0.002549632764043075,0
2017-11-01,348.897769,2542.372506,5713.739945,6167.287138,166193.3333333333,7.4,270.0471573496161,8.01,9.15,11.15,13.9,166580.0,167706.6666666667,166116.6666666667,162370.0,61542.337628894726,129.19883046511765,941.4550150989081,2115.830435349748,2283.7815433900428,4.861352539179959,6.847426566922681,7.657202655244444,7.73358791969975,11.027480633674502,0.04046652779459148,0.00725112053882615,-0.0023518347154576347,0.0005488253420269373,0.011478659739996733,0
2017-12-01,383.839562,2581.696299,5770.354874,6226.509348,165806.6666666667,7.0,271.2353648419544,7.4,8.35,10.15,13.65,166193.3333333333,167143.33333333334,167193.3333333333,162350.0,61130.17996870735,141.51530801437295,951.8287928656811,2127.4345538836046,2295.611175787535,4.952407895079,6.858385179191511,7.662672097992515,7.738754394573784,11.020760967050947,0.09105535589904168,0.010958612268829881,0.0054694427480708185,0.005166474874033433,0.028162471447493953,0
